CustomerID,Age,Gender,TenureMonths,Contract,InternetService,PaymentMethod,TechSupport,OnlineSecurity,PaperlessBilling,MonthlyCharges,TotalCharges,SeniorCitizen,Churn
CUST100019,66,Male,44,Two year,No,Electronic check,No,No,Yes,90.87,4172.12,1,0
CUST100020,44,Female,54,One year,Fiber optic,Mailed check,No,No,No,64.64,3038.52,0,0
CUST100021,47,Female,26,Month-to-month,DSL,Bank transfer,Yes,Yes,No,20.0,626.69,0,1
CUST100022,39,Male,10,One year,Fiber optic,Electronic check,No,No,Yes,20.0,148.31,0,0
CUST100023,28,Male,28,Month-to-month,DSL,Bank transfer,No,No,Yes,46.55,1335.85,0,1
CUST100024,71,Female,15,Month-to-month,No,Bank transfer,No,No,No,85.28,1051.28,1,1
CUST100025,63,Female,27,Month-to-month,DSL,Mailed check,No,No,No,74.84,2215.82,1,1
CUST100026,55,Male,46,Month-to-month,DSL,Mailed check,Yes,No,Yes,76.61,3161.97,0,0
CUST100027,41,Male,9,Month-to-month,No,Credit card,Yes,Yes,Yes,120.77,1397.34,0,1
CUST100028,65,Male,54,One year,No,Credit card,No,No,No,40.27,2072.27,1,0
CUST100029,49,Male,17,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,71.31,861.6,0,1
CUST100030,43,Male,65,One year,Fiber optic,Mailed check,Yes,No,No,79.61,5573.38,0,1
CUST100031,44,Male,53,Two year,DSL,Mailed check,No,Yes,Yes,53.59,2823.43,0,0
CUST100032,31,Male,20,One year,No,Credit card,Yes,Yes,Yes,72.71,1931.11,0,1
CUST100033,23,Male,41,Month-to-month,DSL,Credit card,No,No,No,32.0,1617.34,0,1
CUST100034,50,Male,8,One year,Fiber optic,Mailed check,No,No,Yes,107.25,658.46,0,1
CUST100035,69,Female,8,Month-to-month,DSL,Credit card,No,No,Yes,54.96,418.43,1,1
CUST100036,21,Female,69,Month-to-month,Fiber optic,Mailed check,Yes,No,Yes,122.79,8502.77,0,1
CUST100037,67,Male,58,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,71.19,4510.6,1,0
CUST100038,66,Female,12,Two year,Fiber optic,Bank transfer,No,No,Yes,97.7,1281.78,1,1
CUST100039,34,Female,21,Two year,Fiber optic,Electronic check,No,No,Yes,70.67,1528.14,0,0
CUST100040,54,Female,15,Two year,DSL,Bank transfer,Yes,Yes,Yes,71.23,1018.48,0,0
CUST100041,27,Male,29,One year,Fiber optic,Mailed check,No,No,Yes,57.4,1651.96,0,1
CUST100042,61,Male,21,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,74.98,1900.73,1,1
CUST100043,58,Male,24,Two year,DSL,Credit card,No,No,No,79.95,1919.73,0,0
CUST100044,38,Male,39,Two year,Fiber optic,Electronic check,No,No,No,52.39,1944.46,0,1
CUST100045,21,Female,14,Month-to-month,Fiber optic,Mailed check,Yes,Yes,Yes,68.87,823.05,0,1
CUST100046,74,Female,64,Two year,Fiber optic,Bank transfer,No,No,No,56.75,3493.56,1,0
CUST100047,43,Male,53,Two year,Fiber optic,Electronic check,No,No,Yes,129.49,6512.45,0,1
CUST100048,69,Male,55,Month-to-month,DSL,Credit card,No,No,Yes,69.76,3649.21,1,1
CUST100049,57,Female,13,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,110.63,1812.8,0,1
CUST100050,63,Male,51,Month-to-month,Fiber optic,Electronic check,No,Yes,No,67.11,3370.96,1,1
CUST100051,62,Female,61,One year,Fiber optic,Credit card,No,No,Yes,78.48,4963.38,1,1
CUST100052,29,Male,13,Month-to-month,Fiber optic,Mailed check,Yes,No,Yes,38.97,50.0,0,0
CUST100053,39,Male,55,Month-to-month,Fiber optic,Electronic check,No,No,No,60.82,3487.18,0,1
CUST100054,45,Male,26,One year,Fiber optic,Electronic check,Yes,Yes,No,77.26,1968.42,0,1
CUST100055,46,Male,57,Two year,Fiber optic,Credit card,Yes,Yes,No,111.65,6243.69,0,0
CUST100056,20,Female,35,Two year,Fiber optic,Credit card,No,No,No,77.55,2759.49,0,0
CUST100057,49,Male,58,One year,No,Mailed check,Yes,Yes,Yes,106.59,6058.26,0,0
CUST100058,26,Male,11,Month-to-month,Fiber optic,Electronic check,No,No,Yes,88.02,437.25,0,1
CUST100059,61,Male,29,Month-to-month,Fiber optic,Electronic check,No,Yes,No,112.69,3498.57,1,1
CUST100060,57,Male,20,One year,DSL,Bank transfer,Yes,No,Yes,70.52,1471.15,0,0
CUST100061,71,Male,18,Month-to-month,Fiber optic,Mailed check,No,No,Yes,131.76,2293.19,1,1
CUST100062,61,Female,23,One year,DSL,Mailed check,No,No,No,59.87,1135.46,1,1
CUST100063,39,Female,28,Two year,Fiber optic,Electronic check,No,No,Yes,52.84,1112.06,0,1
CUST100064,74,Female,10,One year,DSL,Mailed check,No,Yes,Yes,41.75,473.47,1,0
CUST100065,41,Male,51,One year,No,Bank transfer,No,Yes,Yes,130.28,7047.64,0,0
CUST100066,36,Male,40,One year,Fiber optic,Mailed check,No,Yes,No,92.49,3750.39,0,0
CUST100067,70,Male,60,Two year,Fiber optic,Electronic check,No,No,No,63.65,3473.31,1,0
CUST100068,39,Male,51,Month-to-month,DSL,Mailed check,Yes,No,Yes,103.23,5321.01,0,1
CUST100069,22,Female,11,Month-to-month,No,Mailed check,No,Yes,Yes,89.19,967.75,0,1
CUST100070,45,Female,6,Month-to-month,Fiber optic,Mailed check,Yes,No,No,121.15,942.91,0,1
CUST100071,64,Male,31,One year,DSL,Electronic check,Yes,No,Yes,33.3,1183.98,1,1
CUST100072,28,Male,35,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,65.37,1541.49,0,1
CUST100073,44,Male,18,Month-to-month,DSL,Mailed check,No,No,Yes,60.44,1224.23,0,1
CUST100074,25,Male,57,One year,Fiber optic,Electronic check,No,No,Yes,22.66,1040.75,0,0
CUST100075,57,Female,42,Month-to-month,DSL,Bank transfer,No,Yes,Yes,98.51,3781.99,0,0
CUST100076,45,Male,54,One year,Fiber optic,Mailed check,No,No,No,65.24,3475.84,0,0
CUST100077,37,Female,8,Month-to-month,DSL,Electronic check,No,No,Yes,90.49,826.66,0,1
CUST100078,31,Male,59,Month-to-month,Fiber optic,Bank transfer,No,No,No,130.99,7318.23,0,1
CUST100079,50,Female,15,Month-to-month,DSL,Mailed check,No,Yes,Yes,63.17,1123.69,0,1
CUST100080,56,Female,33,Month-to-month,DSL,Electronic check,No,No,Yes,61.47,2219.34,0,0
CUST100081,72,Male,32,Two year,DSL,Credit card,Yes,No,No,74.97,2410.78,1,0
CUST100082,43,Female,60,Two year,No,Mailed check,No,No,Yes,96.68,5583.89,0,0
CUST100083,27,Male,20,One year,DSL,Credit card,No,Yes,Yes,57.83,911.76,0,0
CUST100084,66,Female,18,One year,DSL,Electronic check,No,No,Yes,56.23,1268.62,1,1
CUST100085,54,Male,25,One year,Fiber optic,Credit card,Yes,Yes,No,98.43,2082.94,0,1
CUST100086,58,Female,26,Two year,No,Credit card,No,No,No,81.47,2384.34,0,0
CUST100087,23,Female,14,Month-to-month,DSL,Electronic check,No,Yes,Yes,20.88,251.02,0,1
CUST100088,36,Female,13,Month-to-month,Fiber optic,Mailed check,Yes,No,No,41.37,513.85,0,1
CUST100089,62,Male,17,One year,Fiber optic,Bank transfer,No,Yes,Yes,109.53,1434.99,1,1
CUST100090,66,Female,34,Two year,DSL,Mailed check,No,No,Yes,82.05,2753.02,1,0
CUST100091,43,Male,25,Month-to-month,DSL,Mailed check,No,No,Yes,52.95,1477.15,0,0
CUST100092,64,Female,29,Month-to-month,DSL,Credit card,No,No,No,67.74,1630.36,1,1
CUST100093,66,Female,52,Month-to-month,DSL,Bank transfer,No,Yes,Yes,72.33,3885.82,1,1
CUST100094,40,Male,18,Month-to-month,Fiber optic,Credit card,No,Yes,Yes,90.39,1649.27,0,1
CUST100095,70,Male,66,One year,No,Credit card,No,Yes,No,38.04,2349.7,1,0
CUST100096,34,Male,55,Month-to-month,DSL,Credit card,Yes,Yes,Yes,50.98,3017.57,0,0
CUST100097,31,Female,13,Two year,DSL,Bank transfer,No,No,Yes,78.82,474.1,0,0
CUST100098,57,Female,23,One year,DSL,Bank transfer,No,No,Yes,69.5,1685.17,0,0
CUST100099,54,Female,14,Month-to-month,DSL,Credit card,Yes,No,Yes,86.3,1613.06,0,1
CUST100100,26,Male,20,Two year,DSL,Bank transfer,Yes,No,Yes,41.26,1185.19,0,0
CUST100101,66,Female,27,One year,DSL,Electronic check,Yes,No,Yes,80.93,2282.56,1,0
CUST100102,29,Male,10,Month-to-month,No,Bank transfer,No,No,No,99.29,917.48,0,1
CUST100103,64,Male,2,Month-to-month,DSL,Electronic check,No,No,No,84.17,50.0,1,0
CUST100104,18,Male,32,Two year,Fiber optic,Credit card,No,No,No,75.48,2339.63,0,0
CUST100105,64,Male,51,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,69.6,3685.55,1,0
CUST100106,63,Female,22,Month-to-month,DSL,Mailed check,No,Yes,Yes,51.13,923.05,1,1
CUST100107,63,Male,62,Month-to-month,DSL,Electronic check,Yes,No,Yes,70.2,4541.76,1,1
CUST100108,56,Male,27,Month-to-month,DSL,Mailed check,No,No,Yes,103.49,3327.52,0,0
CUST100109,45,Male,65,One year,No,Electronic check,Yes,Yes,Yes,69.02,4470.83,0,0
CUST100110,58,Male,17,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,49.75,509.65,0,1
CUST100111,34,Female,39,One year,Fiber optic,Bank transfer,No,Yes,Yes,59.69,1991.72,0,1
CUST100112,63,Male,55,Month-to-month,DSL,Mailed check,No,No,No,77.02,4430.24,1,0
CUST100113,50,Male,5,Two year,No,Electronic check,Yes,No,Yes,62.66,298.36,0,1
CUST100114,44,Male,67,Month-to-month,Fiber optic,Mailed check,Yes,No,No,84.13,5855.92,0,0
CUST100115,47,Female,27,Two year,Fiber optic,Mailed check,No,No,Yes,85.07,2163.48,0,0
CUST100116,50,Female,36,Two year,Fiber optic,Credit card,No,No,No,94.22,3599.58,0,0
CUST100117,20,Female,46,Month-to-month,DSL,Credit card,No,No,Yes,107.59,4909.57,0,1
CUST100118,26,Male,47,One year,DSL,Bank transfer,No,No,Yes,96.9,4371.17,0,0
CUST100119,32,Male,2,Month-to-month,Fiber optic,Electronic check,No,No,Yes,48.64,50.0,0,1
CUST100120,24,Male,63,Two year,Fiber optic,Electronic check,No,No,Yes,49.41,2813.57,0,0
CUST100121,43,Male,45,One year,DSL,Credit card,No,No,No,70.11,3652.29,0,0
CUST100122,56,Male,72,Month-to-month,DSL,Credit card,No,No,Yes,60.72,4347.74,0,0
CUST100123,55,Female,34,Month-to-month,DSL,Electronic check,No,No,No,43.54,1641.49,0,1
CUST100124,45,Female,45,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,60.96,2608.98,0,1
CUST100125,67,Female,32,Two year,Fiber optic,Mailed check,No,No,No,60.14,1661.5,1,0
CUST100126,50,Female,65,One year,Fiber optic,Electronic check,Yes,No,Yes,55.2,3529.53,0,0
CUST100127,22,Female,60,Month-to-month,No,Credit card,Yes,Yes,Yes,64.11,4121.9,0,0
CUST100128,62,Male,66,Month-to-month,Fiber optic,Credit card,Yes,Yes,No,101.46,6566.18,1,1
CUST100129,51,Male,37,Month-to-month,DSL,Credit card,No,Yes,Yes,76.98,2630.63,0,0
CUST100130,54,Male,57,One year,DSL,Electronic check,No,Yes,Yes,133.8,7665.47,0,0
CUST100131,50,Male,26,Month-to-month,No,Mailed check,Yes,No,Yes,76.26,2107.52,0,1
CUST100132,50,Female,34,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,64.75,2612.21,0,1
CUST100133,23,Male,55,Two year,Fiber optic,Bank transfer,No,No,No,72.1,4053.94,0,0
CUST100134,50,Female,6,Month-to-month,DSL,Mailed check,Yes,No,Yes,78.41,631.46,0,1
CUST100135,64,Female,52,One year,Fiber optic,Mailed check,Yes,Yes,No,82.88,4489.58,1,0
CUST100136,35,Male,2,Month-to-month,DSL,Electronic check,Yes,No,No,123.92,50.0,0,1
CUST100137,52,Female,42,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,50.87,1895.71,0,1
CUST100138,19,Male,35,One year,No,Credit card,No,Yes,Yes,93.48,3000.83,0,0
CUST100139,38,Male,34,Month-to-month,DSL,Electronic check,Yes,No,Yes,77.19,2291.42,0,0
CUST100140,43,Male,36,Month-to-month,Fiber optic,Electronic check,Yes,Yes,No,32.72,1376.78,0,0
CUST100141,74,Male,36,Two year,DSL,Mailed check,Yes,Yes,No,91.27,3358.23,1,0
CUST100142,30,Male,30,Two year,DSL,Bank transfer,No,No,Yes,103.69,3130.57,0,0
CUST100143,34,Female,33,One year,DSL,Electronic check,No,No,No,50.57,1020.63,0,0
CUST100144,41,Female,41,Month-to-month,Fiber optic,Electronic check,No,No,Yes,71.78,3456.85,0,1
CUST100145,75,Female,55,Month-to-month,Fiber optic,Bank transfer,No,No,No,28.87,1364.28,1,1
CUST100146,67,Female,40,Month-to-month,DSL,Electronic check,No,No,Yes,40.53,2134.15,1,1
CUST100147,20,Female,47,Two year,Fiber optic,Bank transfer,Yes,No,No,98.2,4253.09,0,0
CUST100148,31,Female,61,Two year,DSL,Mailed check,No,No,No,60.34,3477.64,0,0
CUST100149,65,Male,72,Month-to-month,Fiber optic,Mailed check,No,Yes,Yes,44.28,2637.45,1,0
CUST100150,21,Female,8,Two year,DSL,Bank transfer,Yes,No,Yes,77.74,712.45,0,1
CUST100151,67,Female,52,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,58.94,2789.57,1,1
CUST100152,34,Male,17,One year,DSL,Bank transfer,Yes,Yes,No,60.23,755.66,0,0
CUST100153,71,Male,15,Month-to-month,Fiber optic,Mailed check,No,No,Yes,90.48,1014.07,1,1
CUST100154,35,Female,58,Month-to-month,Fiber optic,Mailed check,Yes,No,No,42.96,2686.02,0,0
CUST100155,43,Female,5,Two year,Fiber optic,Mailed check,No,Yes,Yes,49.37,424.72,0,0
CUST100156,56,Male,62,Two year,DSL,Mailed check,Yes,No,Yes,75.85,5155.71,0,1
CUST100157,25,Male,56,Month-to-month,Fiber optic,Mailed check,No,Yes,No,96.24,5218.01,0,1
CUST100158,50,Male,72,Month-to-month,DSL,Mailed check,No,No,Yes,102.95,7467.1,0,0
CUST100159,47,Male,49,One year,Fiber optic,Electronic check,No,No,No,55.37,2390.8,0,0
CUST100160,63,Female,63,Month-to-month,DSL,Bank transfer,No,No,No,95.43,5928.33,1,0
CUST100161,75,Male,9,One year,DSL,Electronic check,Yes,Yes,Yes,52.4,341.89,1,0
CUST100162,56,Male,65,One year,Fiber optic,Credit card,No,Yes,Yes,117.66,7764.01,0,1
CUST100163,41,Female,12,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,43.66,778.18,0,1
CUST100164,41,Female,23,Month-to-month,Fiber optic,Electronic check,No,No,Yes,105.21,2667.6,0,1
CUST100165,42,Female,10,Month-to-month,DSL,Bank transfer,Yes,Yes,Yes,55.59,345.2,0,1
CUST100166,65,Female,29,Two year,No,Mailed check,No,No,Yes,122.33,3797.19,1,0
CUST100167,36,Male,54,Month-to-month,Fiber optic,Credit card,No,No,Yes,86.78,4675.1,0,1
CUST100168,27,Female,20,One year,DSL,Credit card,No,No,Yes,46.6,850.85,0,0
CUST100169,37,Female,60,Month-to-month,DSL,Credit card,No,No,Yes,58.94,3359.27,0,0
CUST100170,19,Female,44,One year,DSL,Bank transfer,Yes,No,No,91.53,3887.34,0,0
CUST100171,24,Male,46,Month-to-month,DSL,Credit card,No,No,Yes,98.32,4958.3,0,1
CUST100172,23,Male,68,Month-to-month,No,Bank transfer,Yes,No,Yes,70.23,4852.49,0,0
CUST100173,62,Female,32,One year,DSL,Credit card,Yes,Yes,Yes,73.12,2383.49,1,0
CUST100174,59,Male,25,One year,DSL,Electronic check,No,No,No,90.96,2208.44,0,1
CUST100175,58,Female,72,Month-to-month,Fiber optic,Credit card,No,No,Yes,75.29,6032.37,0,0
CUST100176,44,Female,41,Month-to-month,DSL,Bank transfer,No,No,Yes,39.66,1952.31,0,1
CUST100177,59,Female,45,Two year,No,Electronic check,No,Yes,No,51.68,2145.33,0,0
CUST100178,27,Female,22,Month-to-month,No,Credit card,Yes,No,Yes,77.88,1644.96,0,1
CUST100179,70,Female,16,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,102.39,1584.68,1,0
CUST100180,47,Female,13,Month-to-month,DSL,Credit card,No,No,No,112.4,1497.67,0,0
CUST100181,72,Female,17,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,91.49,1380.02,1,0
CUST100182,26,Male,15,One year,DSL,Mailed check,No,No,Yes,79.18,1297.4,0,1
CUST100183,46,Male,54,One year,Fiber optic,Bank transfer,No,No,Yes,90.72,5261.9,0,0
CUST100184,58,Male,5,Month-to-month,DSL,Electronic check,Yes,Yes,No,55.33,50.0,0,0
CUST100185,46,Male,46,One year,Fiber optic,Bank transfer,No,No,No,68.17,2853.78,0,0
CUST100186,43,Male,69,Month-to-month,Fiber optic,Bank transfer,No,Yes,Yes,51.4,3425.81,0,0
CUST100187,27,Male,56,One year,Fiber optic,Electronic check,No,No,No,40.78,2174.48,0,1
CUST100188,40,Female,30,Month-to-month,Fiber optic,Bank transfer,No,No,No,80.34,2909.82,0,0
CUST100189,31,Male,5,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,76.64,633.63,0,1
CUST100190,35,Female,61,One year,DSL,Credit card,No,No,Yes,89.19,5676.67,0,0
CUST100191,57,Female,1,Month-to-month,DSL,Credit card,No,No,Yes,85.65,50.0,0,0
CUST100192,54,Female,50,Month-to-month,DSL,Mailed check,No,Yes,Yes,78.07,3831.92,0,0
CUST100193,53,Male,49,Month-to-month,DSL,Mailed check,No,No,Yes,85.92,3847.15,0,0
CUST100194,38,Male,14,One year,Fiber optic,Mailed check,No,Yes,Yes,70.93,1188.46,0,0
CUST100195,73,Female,54,Month-to-month,DSL,Electronic check,No,Yes,Yes,82.32,4568.04,1,1
CUST100196,23,Male,13,One year,DSL,Credit card,No,No,Yes,53.85,1021.55,0,1
CUST100197,37,Female,17,One year,Fiber optic,Electronic check,Yes,Yes,Yes,81.24,1328.37,0,0
CUST100198,24,Male,59,One year,DSL,Mailed check,No,No,No,88.71,5198.45,0,0
CUST100199,37,Female,71,Month-to-month,DSL,Electronic check,No,No,No,55.26,3965.97,0,0
CUST100200,73,Male,20,Two year,DSL,Bank transfer,No,No,Yes,73.3,1688.97,1,0
CUST100201,39,Female,67,Month-to-month,DSL,Credit card,No,No,No,56.41,3411.92,0,0
CUST100202,70,Male,66,Two year,Fiber optic,Electronic check,No,No,Yes,58.84,4067.45,1,1
CUST100203,46,Male,56,One year,DSL,Electronic check,No,No,Yes,43.88,2452.16,0,0
CUST100204,58,Female,11,Month-to-month,Fiber optic,Electronic check,No,No,No,103.64,875.38,0,0
CUST100205,44,Male,22,One year,No,Electronic check,No,No,No,98.64,1648.93,0,1
CUST100206,33,Male,49,Month-to-month,Fiber optic,Mailed check,No,No,No,85.44,4152.44,0,1
CUST100207,62,Female,72,Month-to-month,DSL,Bank transfer,No,No,Yes,121.3,9095.53,1,1
CUST100208,74,Male,59,Month-to-month,DSL,Mailed check,No,No,Yes,67.27,4387.6,1,0
CUST100209,33,Male,31,One year,Fiber optic,Electronic check,No,No,No,147.79,4670.33,0,1
CUST100210,63,Female,17,One year,Fiber optic,Bank transfer,No,Yes,No,66.31,1617.77,1,0
CUST100211,33,Male,70,Two year,Fiber optic,Credit card,Yes,No,Yes,78.38,5475.86,0,0
CUST100212,59,Female,20,Month-to-month,DSL,Mailed check,Yes,No,Yes,62.06,1479.53,0,1
CUST100213,63,Male,25,One year,No,Electronic check,No,Yes,Yes,81.31,1919.94,1,1
CUST100214,44,Male,70,One year,Fiber optic,Bank transfer,No,No,Yes,92.89,6373.65,0,0
CUST100215,60,Male,41,One year,DSL,Electronic check,No,No,Yes,69.15,2665.77,1,1
CUST100216,33,Male,20,Month-to-month,DSL,Credit card,Yes,Yes,Yes,116.42,1813.27,0,1
CUST100217,22,Female,1,Month-to-month,DSL,Credit card,Yes,No,Yes,77.98,399.75,0,1
CUST100218,23,Female,31,One year,DSL,Credit card,No,No,No,78.76,2281.15,0,0
CUST100219,43,Female,71,Month-to-month,Fiber optic,Electronic check,No,No,Yes,49.28,3298.52,0,1
CUST100220,70,Female,32,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,82.46,2343.73,1,0
CUST100221,25,Male,51,Month-to-month,Fiber optic,Credit card,No,No,Yes,68.65,3450.06,0,0
CUST100222,44,Female,19,Month-to-month,Fiber optic,Mailed check,No,No,No,56.79,1519.88,0,1
CUST100223,58,Male,56,Month-to-month,DSL,Mailed check,No,No,Yes,52.59,3468.48,0,1
CUST100224,29,Male,56,Month-to-month,DSL,Bank transfer,Yes,No,No,138.79,7357.02,0,1
CUST100225,59,Male,44,One year,Fiber optic,Electronic check,No,No,Yes,65.41,2789.43,0,0
CUST100226,35,Female,56,Two year,No,Bank transfer,No,No,Yes,35.58,1733.89,0,0
CUST100227,64,Male,42,Month-to-month,Fiber optic,Credit card,No,No,No,54.54,2537.76,1,0
CUST100228,51,Female,28,Month-to-month,Fiber optic,Bank transfer,No,No,Yes,70.71,2051.53,0,1
CUST100229,49,Male,54,Two year,No,Mailed check,No,No,Yes,85.67,4467.04,0,0
CUST100230,28,Male,61,Month-to-month,No,Credit card,Yes,No,No,85.87,5256.21,0,0
CUST100231,44,Female,61,Two year,DSL,Bank transfer,Yes,Yes,Yes,88.92,5304.77,0,0
CUST100232,67,Male,16,One year,Fiber optic,Electronic check,No,No,Yes,55.88,1297.64,1,1
CUST100233,19,Male,49,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,80.51,4081.73,0,0
CUST100234,61,Female,1,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,50.1,217.56,1,1
CUST100235,46,Male,42,Month-to-month,DSL,Electronic check,Yes,No,Yes,56.51,1706.69,0,0
CUST100236,59,Male,42,One year,Fiber optic,Bank transfer,No,No,No,49.06,2043.82,0,0
CUST100237,56,Female,27,Month-to-month,DSL,Electronic check,Yes,No,No,42.29,1662.63,0,1
CUST100238,43,Female,72,Two year,Fiber optic,Electronic check,No,No,Yes,98.61,7431.45,0,0
CUST100239,35,Male,64,One year,DSL,Bank transfer,Yes,No,Yes,89.22,5248.31,0,0
CUST100240,54,Female,3,Two year,Fiber optic,Electronic check,No,Yes,No,96.42,210.9,0,1
CUST100241,26,Male,16,Two year,DSL,Mailed check,No,Yes,No,72.98,867.3,0,0
CUST100242,51,Male,15,Month-to-month,DSL,Electronic check,Yes,No,Yes,91.42,1799.08,0,1
CUST100243,23,Male,65,Month-to-month,No,Bank transfer,No,Yes,Yes,27.97,1879.12,0,0
CUST100244,55,Female,38,Two year,No,Credit card,No,Yes,Yes,93.58,3364.09,0,0
CUST100245,54,Male,53,Month-to-month,DSL,Electronic check,Yes,No,Yes,76.43,4059.33,0,0
CUST100246,22,Male,59,Month-to-month,Fiber optic,Credit card,Yes,Yes,No,87.68,4521.28,0,0
CUST100247,61,Female,56,Month-to-month,No,Electronic check,No,No,No,81.5,4292.76,1,1
CUST100248,42,Female,7,Month-to-month,No,Electronic check,No,Yes,Yes,47.32,340.35,0,1
CUST100249,63,Male,11,Two year,No,Electronic check,No,No,No,34.55,591.47,1,0
CUST100250,20,Female,29,Month-to-month,DSL,Electronic check,No,No,No,54.2,1086.47,0,1
CUST100251,28,Male,25,One year,Fiber optic,Electronic check,No,No,No,86.12,2057.71,0,0
CUST100252,46,Female,54,Two year,DSL,Bank transfer,No,Yes,No,89.25,5071.92,0,0
CUST100253,28,Male,12,Month-to-month,Fiber optic,Credit card,No,Yes,Yes,37.8,90.74,0,1
CUST100254,37,Male,27,One year,Fiber optic,Credit card,No,Yes,No,47.47,1338.99,0,0
CUST100255,56,Female,18,Month-to-month,Fiber optic,Credit card,Yes,Yes,Yes,53.92,987.05,0,1
CUST100256,26,Female,14,Month-to-month,DSL,Mailed check,Yes,No,Yes,63.07,1311.58,0,0
CUST100257,57,Female,13,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,37.95,435.82,0,0
CUST100258,23,Female,15,Month-to-month,DSL,Electronic check,No,Yes,Yes,36.45,503.85,0,1
CUST100259,28,Male,41,Month-to-month,DSL,Mailed check,No,Yes,No,51.45,2323.19,0,0
CUST100260,52,Female,30,Month-to-month,DSL,Credit card,Yes,No,Yes,74.16,1893.21,0,1
CUST100261,64,Female,32,Month-to-month,Fiber optic,Electronic check,No,No,Yes,42.49,1304.46,1,1
CUST100262,27,Female,35,Month-to-month,No,Electronic check,No,No,Yes,69.1,2304.57,0,0
CUST100263,35,Male,54,One year,Fiber optic,Mailed check,No,No,Yes,98.46,5282.11,0,0
CUST100264,71,Male,63,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,39.46,2698.08,1,1
CUST100265,75,Female,38,Two year,DSL,Mailed check,No,Yes,Yes,66.84,2678.46,1,0
CUST100266,51,Female,47,Two year,Fiber optic,Bank transfer,No,No,No,97.62,4400.97,0,0
CUST100267,43,Male,54,One year,DSL,Mailed check,Yes,No,No,61.54,3357.33,0,0
CUST100268,38,Male,50,One year,Fiber optic,Mailed check,No,No,Yes,57.66,3255.61,0,0
CUST100269,53,Male,10,One year,No,Mailed check,Yes,Yes,Yes,101.09,803.06,0,0
CUST100270,52,Male,71,One year,Fiber optic,Bank transfer,No,No,Yes,64.34,4604.43,0,0
CUST100271,35,Female,12,Two year,No,Bank transfer,Yes,No,Yes,99.61,1147.03,0,0
CUST100272,19,Female,30,Two year,DSL,Mailed check,No,Yes,Yes,82.72,2465.85,0,0
